game_id,league,date,home,away,home_score,away_score,neutral,home_ml,away_ml,spread,home_spread_price,away_spread_price,total,over_price,under_price,extras
NHL-20241102-CBJ-WSH-17,NHL,2024-11-02T21:00:00,WSH,CBJ,7,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241102-SEA-OTT-19,NHL,2024-11-02T23:00:00,OTT,SEA,3,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241102-BUF-DET-19,NHL,2024-11-02T23:00:00,DET,BUF,2,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241102-MTL-PIT-19,NHL,2024-11-02T23:00:00,PIT,MTL,3,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241102-TOR-STL-19,NHL,2024-11-02T23:00:00,STL,TOR,4,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241102-COL-NSH-20,NHL,2024-11-03T00:00:00,NSH,COL,5,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241102-UTAH-VGK-22,NHL,2024-11-03T02:00:00,VGK,UTAH,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241102-VAN-SJ-22,NHL,2024-11-03T02:00:00,SJ,VAN,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241103-NYI-NYR-13,NHL,2024-11-03T18:00:00,NYR,NYI,5,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241103-TB-WPG-15,NHL,2024-11-03T20:00:00,WPG,TB,7,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241103-SEA-BOS-17,NHL,2024-11-03T22:00:00,BOS,SEA,2,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241103-WSH-CAR-17,NHL,2024-11-03T22:00:00,CAR,WSH,4,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241103-TOR-MIN-18,NHL,2024-11-03T23:00:00,MIN,TOR,2,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241103-EDM-CGY-20,NHL,2024-11-04T01:00:00,CGY,EDM,2,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241103-CHI-ANA-20,NHL,2024-11-04T01:00:00,ANA,CHI,2,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241104-LA-NSH-20,NHL,2024-11-05T01:00:00,NSH,LA,0,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241104-NJ-EDM-20,NHL,2024-11-05T01:30:00,EDM,NJ,0,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-OTT-BUF-19,NHL,2024-11-06T00:00:00,BUF,OTT,5,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-BOS-TOR-19,NHL,2024-11-06T00:00:00,TOR,BOS,4,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-CGY-MTL-19,NHL,2024-11-06T00:00:00,MTL,CGY,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-PHI-CAR-19,NHL,2024-11-06T00:00:00,CAR,PHI,6,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-PIT-NYI-19,NHL,2024-11-06T00:30:00,NYI,PIT,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-TB-STL-20,NHL,2024-11-06T01:00:00,STL,TB,3,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-LA-MIN-20,NHL,2024-11-06T01:00:00,MIN,LA,1,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-UTAH-WPG-20,NHL,2024-11-06T01:00:00,WPG,UTAH,3,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241105-SEA-COL-21,NHL,2024-11-06T02:00:00,COL,SEA,6,3,0,,,,,,,,,"{""indoor"": true}"
